number,Type,Name,Traffic,Line,City,District
13,Metro,HOTEL DE VILLE,5673100,"1, 11",Paris,4
18,Metro,MAIRIE DE MONTREUIL,4764601,9,Montreuil,other
20,Metro,BOBIGNY-PABLO PICASSO,4752569,5,Bobigny,other
21,Metro,OLYMPIADES,4717069,14,Paris,13
27,Metro,AUBERVILLIERS-PANTIN-QUATRE CHEMINS,4131018,7,Aubervilliers,other
29,Metro,HAVRE-CAUMARTIN,3899956,"3, 9",Paris,9
38,Metro,TROCADERO,3618422,"6, 9",Paris,16
39,Metro,LA COURNEUVE-8 MAI 1945,3611264,7,La Courneuve,other
48,Metro,PORTE D'ORLEANS,3314496,4,Paris,14
3,Metro,GARE DE LYON,22232810,"1, 14, A",Paris,12
6,Metro,BIBLIOTHEQUE,10002396,14,Paris,13
49,Metro,GAMBETTA,3310515,"3, 3bis",Paris,20
5,Metro,GARE DE L'EST,11715190,"4, 5, 7",Paris,10
11,Metro,CHATELET,6030558,"1, 4, 7, 11, 14",Paris,1
58,Metro,GEORGE V,2871038,1,Paris,8
7,Metro,LA DEFENSE,8616589,1,Puteaux,other
15,Metro,PORTE DE CLIGNANCOURT,4902116,4,Paris,18
59,Metro,MARCEL SEMBAT,2845520,9,Boulogne Billancourt,other
9,Metro,REPUBLIQUE,6988692,"3, 5, 8, 9, 11",Paris,11
16,Metro,NATION,4860619,"1, 2, 6, 9",Paris,12
63,Metro,DAUMESNIL,2723508,"6, 8",Paris,12
12,Metro,BELLEVILLE,5680933,"2, 11",Paris,10
1,Metro,SAINT-LAZARE,26904975,"3, 9, 12, 13, 14",Paris,8
4,Metro,MONTPARNASSE-BIENVENUE,13783944,"4, 6, 12, 13",Paris,14
22,Metro,FRANKLIN D. ROOSEVELT,4691237,"1, 9",Paris,8
82,Metro,MAIRIE DES LILAS,2563685,11,Les Lilas,other
30,Metro,REUILLY-DIDEROT,3860750,"1, 8",Paris,12
2,Metro,GARE DU NORD,25381876,"4, 5",Paris,10
14,Metro,PLACE D'ITALIE,5031748,"5, 6, 7",Paris,13
26,Metro,STRASBOURG-SAINT-DENIS,4275630,"4, 8, 9",Paris,2
84,Metro,PIGALLE,2496923,"2, 12",Paris,18
34,Metro,CHATEAU DE VINCENNES,3735738,1,Vincennes,other
8,Metro,LES HALLES,8019633,4,Paris,1
17,Metro,PORTE DE VINCENNES,4840436,1,Paris,12
31,Metro,LA CHAPELLE,3825879,2,Paris,9
88,Metro,ANVERS,2450333,2,Paris,18
35,Metro,PALAIS-ROYAL,3678654,"1, 7",Paris,1
10,Metro,BASTILLE,6084635,"1, 5, 8",Paris,12
19,Metro,CHATEAU ROUGE,4761367,4,Paris,18
33,Metro,CHATILLON-MONTROUGE,3738453,13,Chatillon,other
89,Metro,PORTE DE VERSAILLES,2449859,12,Paris,15
36,Metro,PONT DE NEUILLY,3678074,1,Neuilly Sur Seine,other
28,Metro,VILLEJUIF-LOUIS ARAGON,4029467,7,Villejuif,other
23,Metro,GARE D'AUSTERLITZ,4638836,"5, 10",Paris,13
40,Metro,BARBES-ROCHECHOUART,3530780,"2, 4",Paris,18
96,Metro,PORTE DE CLICHY,2352078,"13, 14",Paris,17
42,Metro,SAINT-MANDE-TOURELLE,3487584,1,Saint Mand¨¦,other
37,Metro,PLACE CLICHY,3643247,"2, 13",Paris,17
24,Metro,ESPLANADE DE LA DEFENSE,4488878,1,Puteaux,other
41,Metro,OPERA,3519216,"3, 7, 8",Paris,9
105,Metro,SAINT-DENIS-PORTE DE PARIS,2236506,13,Saint Denis,other
43,Metro,MAIRIE DE MONTROUGE,3456791,4,Montrouge,other
44,Metro,LA MOTTE-PICQUET-GRENELLE,3428458,"6, 8, 10",Paris,15
25,Metro,MADELEINE,4297547,"8, 12, 14",Paris,8
45,Metro,SAINT-PAUL,3357660,1,Paris,4
109,Metro,LES COURTILLES,2194218,13,Asni¨¨res sur Seine,other
47,Metro,MAIRIE DE CLICHY,3316323,13,Clichy,other
46,Metro,STALINGRAD,3336898,"2, 5, 7",Paris,19
32,Metro,PORTE MAILLOT,3784418,1,Paris,16
53,Metro,CHARLES DE GAULLE-ETOILE,3152200,"1, 2, 6",Paris,8
123,Metro,PORTE DE LA VILLETTE,1981878,7,Paris,19
52,Metro,MARCADET-POISSONNIERS,3169019,"4, 12",Paris,18
50,Metro,CHAUSSEE D'ANTIN-LA FAYETTE,3299036,"7, 9",Paris,9
51,Metro,BERCY,3189247,"6, 14",Paris,12
60,Metro,CROIX DE CHAVAUX,2839164,9,Montreuil,other
133,Metro,DENFERT-ROCHEREAU,1818730,"4, 6",Paris,14
54,Metro,JAURES,3148221,"2, 5, 7bis",Paris,19
57,Metro,GALLIENI,2893664,3,Bagnolet,other
56,Metro,LES SABLONS,2965575,1,Neuilly Sur Seine,other
65,Metro,CRIMEE,2688758,7,Paris,19
139,Metro,LOUISE MICHEL,1735982,3,Levallois-Perret,other
55,Metro,PYRAMIDES,3048580,"7, 14",Paris,1
62,Metro,CRETEIL-PREFECTURE,2778189,8,Cr¨¦teil,other
67,Metro,CONVENTION,2674415,12,Paris,15
68,Metro,GABRIEL PERI,2667469,13,Asni¨¨res,other
157,Metro,COURONNES,1623475,2,Paris,11
61,Metro,COUR SAINT-EMILION,2792734,14,Paris,12
64,Metro,REAUMUR-SEBASTOPOL,2718817,"3, 4",Paris,3
71,Metro,BALARD,2643639,8,Paris,15
73,Metro,PASTEUR,2625552,"6, 12",Paris,9
163,Metro,MALAKOFF-PLATEAU DE VANVES,1581749,13,Malakoff,other
66,Metro,INVALIDES,2678838,"8, 13",Paris,7
78,Metro,GRANDS BOULEVARDS,2608284,"8, 9",Paris,9
85,Metro,SAINT-MICHEL,2481981,4,Paris,5
74,Metro,MIROMESNIL,2618473,"9, 13",Paris,8
165,Metro,PORTE DE CHAMPERRET,1576691,3,Paris,17
69,Metro,PONT DE SEVRES,2651763,9,Boulogne Billancourt,other
81,Metro,VOLTAIRE,2572383,9,Paris,11
87,Metro,PORTE DE VANVES,2460078,13,Paris,14
75,Metro,CONCORDE,2617251,"1, 8, 12",Paris,8
168,Metro,SAINT-AUGUSTIN,1563979,9,Paris,8
70,Metro,BIR-HAKEIM,2644407,6,Paris,15
93,Metro,PORTE DE MONTREUIL,2383093,9,Paris,20
