Tube Line,From Station,To Station,Color
Bakerloo,Baker Street,Regents Park,brown
Bakerloo,Charing Cross,Embankment,brown
Bakerloo,Edgware Road (Bakerloo),Marylebone,brown
Bakerloo,Embankment,Waterloo,brown
Bakerloo,Harlesden,Willesden Junction,brown
Bakerloo,Harrow and Wealdstone,Kenton,brown
Bakerloo,Kensal Green,Queens Park,brown
Bakerloo,Kenton,South Kenton,brown
Bakerloo,Kilburn Park,Maida Vale,brown
Bakerloo,Lambeth North,Elephant and Castle,brown
Bakerloo,Maida Vale,Warwick Avenue,brown
Bakerloo,Marylebone,Baker Street,brown
Bakerloo,North Wembley,Wembley Central,brown
Bakerloo,Oxford Circus,Piccadilly Circus,brown
Bakerloo,Paddington,Edgware Road (Bakerloo),brown
Bakerloo,Piccadilly Circus,Charing Cross,brown
Bakerloo,Queens Park,Kilburn Park,brown
Bakerloo,Regents Park,Oxford Circus,brown
Bakerloo,South Kenton,North Wembley,brown
Bakerloo,Stonebridge Park,Harlesden,brown
Bakerloo,Warwick Avenue,Paddington,brown
Bakerloo,Waterloo,Lambeth North,brown
Bakerloo,Wembley Central,Stonebridge Park,brown
Bakerloo,Willesden Junction,Kensal Green,brown
C2C,Barking,Dagenham Dock,purple
C2C,Barking,Upminster,purple
C2C,Dagenham Dock,Purfleet,purple
C2C,Dagenham Dock,Rainham,purple
C2C,Fenchurch Street,Limehouse,purple
C2C,Fenchurch Street,Stratford,purple
C2C,Limehouse,West Ham,purple
C2C,Liverpool Street,Stratford,purple
C2C,Ockendon,Chafford Hundred,purple
C2C,Stratford,Barking,purple
C2C,Upminster,Ockendon,purple
C2C,West Ham,Barking,purple
Central,Bank,St. Pauls,red
Central,Barkingside,Fairlop,red
Central,Bethnal Green,Liverpool Street,red
Central,Bond Street,Marble Arch,red
Central,Buckhurst Hill,Woodford,red
Central,Chancery Lane,Holborn,red
Central,Chigwell,Roding Valley,red
Central,Debden,Loughton,red
Central,East Acton,North Acton,red
Central,Epping,Theydon Bois,red
Central,Fairlop,Hainault,red
Central,Gants Hill,Newbury Park,red
Central,Grange Hill,Chigwell,red
Central,Greenford,Northolt,red
Central,Hainault,Grange Hill,red
Central,Hanger Lane,Perivale,red
Central,Holborn,Tottenham Court Road,red
Central,Holland Park,Shepherds Bush,red
Central,Lancaster Gate,Queensway,red
Central,Leyton,Stratford,red
Central,Leytonstone,Leyton,red
Central,Leytonstone,Wanstead,red
Central,Liverpool Street,Bank,red
Central,Loughton,Buckhurst Hill,red
Central,Marble Arch,Lancaster Gate,red
Central,Mile End,Bethnal Green,red
Central,Newbury Park,Barkingside,red
Central,North Acton,Hanger Lane,red
Central,North Acton,West Acton,red
Central,Northolt,South Ruislip,red
Central,Notting Hill Gate,Holland Park,red
Central,Oxford Circus,Bond Street,red
Central,Perivale,Greenford,red
Central,Queensway,Notting Hill Gate,red
Central,Redbridge,Gants Hill,red
Central,Ruislip Gardens,West Ruislip,red
Central,Shepherds Bush,White City,red
Central,Snaresbrook,Leytonstone,red
Central,South Ruislip,Ruislip Gardens,red
Central,South Woodford,Snaresbrook,red
Central,St. Pauls,Chancery Lane,red
Central,Stratford,Mile End,red
Central,Theydon Bois,Debden,red
Central,Tottenham Court Road,Oxford Circus,red
Central,Wanstead,Redbridge,red
Central,West Acton,Ealing Broadway,red
Central,White City,East Acton,red
Central,Woodford,South Woodford,red
Chiltern Railways,Chalfont and Latimer,Amersham,red
Chiltern Railways,Chorleywood,Chalfont and Latimer,red
Chiltern Railways,Harrow-on-the-Hill,Rickmansworth,red
Chiltern Railways,Marylebone,Harrow-on-the-Hill,red
Chiltern Railways,Marylebone,Wembley Stadium,red
Chiltern Railways,Northolt Park,South Ruislip,red
Chiltern Railways,Paddington,South Ruislip,red
Chiltern Railways,Rickmansworth,Chorleywood,red
Chiltern Railways,South Ruislip,West Ruislip,red
Chiltern Railways,Sudbury and Harrow Road,Sudbury Hill Harrow,red
Chiltern Railways,Sudbury Hill Harrow,Northolt Park,red
Chiltern Railways,Wembley Stadium,Sudbury and Harrow Road,red
Circle,Aldgate,Tower Hill,red
Circle,Baker Street,Great Portland Street,red
Circle,Barbican,Moorgate,red
Circle,Bayswater,Paddington,red
Circle,Blackfriars,Temple,red
Circle,Cannon Street,Mansion House,red
Circle,Edgware Road (Circle/District/Hammersmith and City),Baker Street,red
Circle,Embankment,Westminster,red
Circle,Euston Square,Kings Cross St. Pancras,red
Circle,Farringdon,Barbican,red
Circle,Gloucester Road,High Street Kensington,red
Circle,Goldhawk Road,Shepherds Bush Market,red
Circle,Great Portland Street,Euston Square,red
Circle,Hammersmith (Met.),Goldhawk Road,red
Circle,High Street Kensington,Notting Hill Gate,red
Circle,Kings Cross St. Pancras,Farringdon,red
Circle,Ladbroke Grove,Westbourne Park,red
Circle,Latimer Road,Ladbroke Grove,red
Circle,Liverpool Street,Aldgate,red
Circle,Mansion House,Blackfriars,red
Circle,Monument,Cannon Street,red
Circle,Moorgate,Liverpool Street,red
Circle,Notting Hill Gate,Bayswater,red
Circle,Paddington,Edgware Road (Circle/District/Hammersmith and City),red
Circle,Royal Oak,Paddington,red
Circle,Shepherds Bush Market,Wood Lane,red
Circle,Sloane Square,South Kensington,red
Circle,South Kensington,Gloucester Road,red
Circle,St. James's Park,Victoria,red
Circle,Temple,Embankment,red
Circle,Tower Hill,Monument,red
Circle,Victoria,Sloane Square,red
Circle,Westbourne Park,Royal Oak,red
Circle,Westminster,St. James's Park,red
Circle,Wood Lane,Latimer Road,red
District,Acton Town,Ealing Common,green
District,Aldgate East,Tower Hill,green
District,Barking,East Ham,green
District,Barons Court,Hammersmith (District),green
District,Bayswater,Paddington,green
