name,color
SeaGreen4,#2E8B57
MediumPurple,#9370DB
Firebrick3,#CD2626
Brown4,#8B2323
DarkViolet,#9400D3
DarkSeaGreen4,#698B69
Maroon1,#FF34B3
SeaGreen1,#54FF9F
Yellow2,#EEEE00
Yellow1,#FFFF00
grey41,#696969
DeepPink1,#FF1493
Sienna3,#CD6839
Orchid2,#EE7AE9
DodgerBlue4,#104E8B
Red3,#CD0000
Orchid1,#FF83FA
DeepSkyBlue1,#00BFFF
Pink3,#CD919E
Aquamarine4,#458B74
Orange4,#8B5A00
HotPink2,#EE6AA7
Magenta1,#FF00FF
Magenta3,#CD00CD
IndianRed4,#8B3A3A
Brown2,#EE3B3B
CadetBlue4,#53868B
RosyBrown3,#CD9B9B
OrangeRed1,#FF4500
DarkOrange4,#8B4500
SteelBlue4,#36648B
DeepPink4,#8B0A50
Turquoise4,#00868B
CadetBlue2,#8EE5EE
Plum4,#8B668B
SpringGreen4,#008B45
Yellow4,#8B8B00
Tomato4,#8B3626
gray81,#CFCFCF
grey51,#828282
Burlywood3,#CDAA7D
DeepPink3,#CD1076
DarkOliveGreen4,#6E8B3D
Thistle3,#CDB5CD
SlateBlue4,#473C8B
DarkGoldenrod4,#8B658B
Cyan3,#00CDCD
Gold1,#FFD700
DarkSlateGray3,#79CDCD
Yellow3,#CDCD00
MediumPurple4,#5D478B
OrangeRed3,#CD3700
Blue1,#0000FF
DarkOrchid3,#9A32CD
DarkOrchid4,#68228B
PaleTurquoise2,#AEEEEE
SkyBlue3,#6CA6CD
PaleGreen2,#90EE90
PaleVioletRed2,#EE799F
Burlywood1,#FFD39B
Gold4,#8B7500
Blue4,#00008B
RosyBrown4,#8B6969
MediumOrchid3,#B452CD
OliveDrab1,#C0FF3E
Cyan2,#00EEEE
Green4,#008B00
Coral2,#EE6A50
DodgerBlue1,#1E90FF
grey71,#B5B5B5
SpringGreen3,#00CD66
Orange3,#CD8500
OliveDrab4,#698B22
DarkOliveGreen1,#CAFF70
BlueViolet,#8A2BE2
DarkSeaGreen3,#9BCD9B
Purple2,#912CEE
Green2,#00EE00
Pink2,#EEA9B8
SkyBlue4,#4A708B
Cyan1,#00FFFF
